date,new_cases,new_deaths,new_tests
2019-12-31,0,0,
2020-01-01,0,0,
2020-01-02,0,0,
2020-01-03,0,0,
2020-01-04,0,0,
2020-01-05,0,0,
2020-01-06,0,0,
2020-01-07,0,0,
2020-01-08,0,0,
2020-01-09,0,0,
2020-01-10,0,0,
2020-01-11,0,0,
2020-01-12,0,0,
2020-01-13,0,0,
2020-01-14,0,0,
2020-01-15,0,0,
2020-01-16,0,0,
2020-01-17,0,0,
2020-01-18,0,0,
2020-01-19,0,0,
2020-01-20,0,0,
2020-01-21,0,0,
2020-01-22,0,0,
2020-01-23,0,0,
2020-01-24,0,0,
2020-01-25,0,0,
2020-01-26,0,0,
2020-01-27,0,0,
2020-01-28,0,0,
2020-01-29,0,0,
2020-01-30,0,0,
2020-01-31,3,0,
2020-02-01,0,0,
2020-02-02,0,0,
2020-02-03,0,0,
2020-02-04,0,0,
2020-02-05,0,0,
2020-02-06,0,0,
2020-02-07,0,0,
2020-02-08,0,0,
2020-02-09,0,0,
2020-02-10,0,0,
2020-02-11,0,0,
2020-02-12,0,0,
2020-02-13,0,0,
2020-02-14,0,0,
2020-02-15,0,0,
2020-02-16,0,0,
2020-02-17,0,0,
2020-02-18,0,0,
2020-02-19,0,0,
2020-02-20,0,0,
2020-02-21,0,0,
2020-02-22,14,0,
2020-02-23,62,2,
2020-02-24,53,0,
2020-02-25,97,4,
2020-02-26,93,5,
2020-02-27,78,1,
2020-02-28,250,5,
2020-02-29,238,4,
2020-03-01,240,8,
2020-03-02,561,6,
2020-03-03,347,17,
2020-03-04,466,28,
2020-03-05,587,27,
2020-03-06,769,41,
2020-03-07,778,49,
2020-03-08,1247,36,
2020-03-09,1492,133,
2020-03-10,1797,98,
2020-03-11,977,167,
2020-03-12,2313,196,
2020-03-13,2651,189,
2020-03-14,2547,252,
2020-03-15,3497,173,
2020-03-16,2823,370,
2020-03-17,4000,347,
2020-03-18,3526,347,
2020-03-19,4207,473,
2020-03-20,5322,429,
2020-03-21,5986,625,
2020-03-22,6557,795,
2020-03-23,5560,649,
2020-03-24,4789,601,
2020-03-25,5249,743,
2020-03-26,5210,685,
2020-03-27,6153,660,
2020-03-28,5959,971,
2020-03-29,5974,887,
2020-03-30,5217,758,
2020-03-31,4050,810,
2020-04-01,4053,839,
2020-04-02,4782,727,
2020-04-03,4668,760,
2020-04-04,4585,764,
2020-04-05,4805,681,
2020-04-06,4316,527,
2020-04-07,3599,636,
2020-04-08,3039,604,
2020-04-09,3836,540,
2020-04-10,4204,612,
2020-04-11,3951,570,
2020-04-12,4694,619,
2020-04-13,4092,431,
2020-04-14,3153,564,
2020-04-15,2972,604,
2020-04-16,2667,578,
2020-04-17,3786,525,
2020-04-18,3493,575,
2020-04-19,3491,480,
2020-04-20,3047,433,7841
2020-04-21,2256,454,28095
2020-04-22,2729,534,44248
2020-04-23,3370,437,37083
2020-04-24,2646,464,95273
2020-04-25,3021,420,38676
2020-04-26,2357,415,24113
2020-04-27,2324,260,26678
2020-04-28,1739,333,37554
2020-04-29,2091,382,38589
2020-04-30,2086,323,41441
2020-05-01,1872,285,43732
2020-05-02,1965,269,31231
2020-05-03,1900,474,27047
2020-05-04,1389,174,22999
2020-05-05,1221,195,32211
2020-05-06,1075,236,37771
2020-05-07,1444,369,13665
2020-05-08,1401,274,45428
2020-05-09,1327,243,36091
2020-05-10,1083,194,31384
2020-05-11,802,165,25823
2020-05-12,744,179,39620
2020-05-13,1402,172,37049
2020-05-14,888,195,41131
2020-05-15,992,262,39027
2020-05-16,789,242,40657
2020-05-17,875,153,33505
2020-05-18,675,145,26101
2020-05-19,451,99,40226
2020-05-20,813,162,38617
2020-05-21,665,161,40644
2020-05-22,642,156,42987
2020-05-23,652,130,42579
2020-05-24,669,119,34206
2020-05-25,531,50,20676
2020-05-26,300,92,33944
2020-05-27,397,78,37299
2020-05-28,584,117,39838
2020-05-29,593,70,38233
2020-05-30,516,87,36051
2020-05-31,416,111,28948
2020-06-01,355,75,18053
2020-06-02,178,60,25628
2020-06-03,318,55,20035
2020-06-04,321,71,27451
2020-06-05,177,88,40470
2020-06-06,518,85,34036
2020-06-07,270,72,27894
2020-06-08,197,53,16301
2020-06-09,280,65,32200
2020-06-10,283,79,37865
2020-06-11,202,71,32991
2020-06-12,379,53,37651
2020-06-13,163,56,32880
2020-06-14,346,78,29545
2020-06-15,338,44,17463
2020-06-16,301,26,27762
2020-06-17,210,34,33957
2020-06-18,328,43,32921
2020-06-19,331,66,28570
2020-06-20,-148,47,29875
2020-06-21,264,49,24581
2020-06-22,224,24,16152
2020-06-23,221,23,23225
2020-06-24,113,18,30237
2020-06-25,577,-31,29421
2020-06-26,296,34,28331
2020-06-27,255,30,29721
2020-06-28,175,8,21183
2020-06-29,174,22,15484
2020-06-30,126,6,28471
2020-07-01,142,23,29325
2020-07-02,182,21,29147
2020-07-03,201,30,25680
2020-07-04,223,15,28946
2020-07-05,235,21,21166
2020-07-06,192,7,13771
2020-07-07,208,8,22490
2020-07-08,137,30,28679
2020-07-09,193,15,29947
2020-07-10,214,12,27251
2020-07-11,276,12,25449
2020-07-12,188,7,23061
2020-07-13,234,9,14006
2020-07-14,169,13,24222
2020-07-15,114,17,28392
2020-07-16,162,13,28089
2020-07-17,230,20,28661
2020-07-18,231,11,27569
2020-07-19,249,14,20621
2020-07-20,218,3,14121
2020-07-21,190,13,23915
2020-07-22,128,15,29288
2020-07-23,280,9,33018
2020-07-24,306,10,28970
2020-07-25,252,5,28059
2020-07-26,274,5,25177
2020-07-27,254,5,19374
2020-07-28,168,5,25341
2020-07-29,202,11,30875
2020-07-30,288,6,33396
2020-07-31,382,3,29686
2020-08-01,379,9,31905
2020-08-02,295,5,24496
2020-08-03,238,8,13467
2020-08-04,159,12,23491
2020-08-05,190,5,29739
2020-08-06,384,10,32169
2020-08-07,401,6,30392
2020-08-08,552,3,26631
2020-08-09,347,13,22773
2020-08-10,463,2,10904
2020-08-11,259,4,22063
2020-08-12,412,6,27330
2020-08-13,476,10,25629
2020-08-14,522,6,24868
2020-08-15,574,3,25937
2020-08-16,629,158,22470
2020-08-17,477,4,21379
2020-08-18,320,4,32687
2020-08-19,401,5,41290
2020-08-20,642,7,49662
2020-08-21,840,6,44943
2020-08-22,947,9,46613
2020-08-23,1071,3,47463
2020-08-24,1209,7,33358
2020-08-25,953,4,45798
2020-08-26,876,4,58054
2020-08-27,1366,13,57640
2020-08-28,1409,5,65135
2020-08-29,1460,9,64294
2020-08-30,1444,1,53541
2020-08-31,1365,4,42583
2020-09-01,996,6,54395
2020-09-02,975,8,
2020-09-03,1326,6,
